Host,Model Id,Instance,Tensor parallelism degree,quantization,generated_tokens per request,Do Sample,Number of requests,Virtual Users,Thorughput (tokens/second),Latency (ms/token) avg,Latency (ms/token) min,Latency (ms/token) med,Latency (ms/token) max,Latency (ms/token) p(90),Latency (ms/token) p(95),Latency Request ms p(90),Latency Request ms p(95),Latency Request ms avg,Latency Request ms min,Latency Request ms med,Latency Request ms max,Latency Infernece ms med,Latency Infernece ms max,Latency Infernece ms p(90),Latency Infernece ms p(95),Latency Infernece ms avg,Latency Infernece ms min,Queue time ms med,Queue time ms max,Queue time ms p(90),Queue time ms p(95),Queue time ms avg,Queue time ms min
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.2xlarge,1,none,50,True,559,20,313.5327912405814,65.68577910912342,46.569995,60.860308,533.195128,71.128072,73.0713053,3686.7584846,3766.559922,3189.45905480322,387.546937,3239.8767679999996,4967.968354,3020.720932,3710.968027,3500.2076663999997,3601.0597061000003,2981.714252313059,124.92305,208.066466,1639.050819,228.9111084,470.9018690000001,206.09614901073346,0.040311
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.p4d.24xlarge,8,gptq,50,True,270,20,147.50231042313064,165.24339316666666,76.617111,116.46342849999999,4444.792062,280.180663,280.1876234,8009.605704,19203.3092109,6779.554822777777,685.591511,6077.621547500001,19306.813610999998,5650.879221,19306.393869,7506.428683,14009.07504095,6063.974838296296,422.008619,417.0465585,5297.239302999999,1268.985192799998,5192.7756076,714.3300307481481,0.047796
sagemaker,meta-llama/Llama-2-13b-hf,ml.g5.12xlarge,4,none,50,True,396,10,226.0872252662919,54.06696063636364,28.894848,43.5169825,718.60198,56.728798,66.31662775000001,2827.235088,2964.98782075,2211.535832734848,165.163642,2194.5149645,3855.958502,2083.701989,3315.8872029999998,2719.8101515,2836.5249395,2123.891391659091,143.952591,63.029525,1449.248242,120.36086449999999,296.3145875,86.70737278282827,0.034710000000000005
sagemaker,TheBloke/Llama-2-13B-GPTQ,ml.g5.2xlarge,1,gptq,50,True,127,5,71.70560103977112,73.7249624488189,38.086532,56.237484,530.410387,99.1130128,124.79064749999976,5503.4596346,6556.301789,3486.4779930000004,248.032819,2995.652877,9322.931073,2781.633414,9322.522187,4759.569151,4979.758543799999,2998.163068582677,202.491843,74.741608,4318.450366,1630.4484546,1921.5319824,487.1551351889764,0.034841000000000004
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.48xlarge,8,gptq,50,True,72,10,39.61647879082929,379.9064921111111,95.791928,234.54207,4524.220386999999,329.8612339,824.8732000000025,22069.5605261,22072.9368647,12621.010631458332,2630.733347,11714.9389125,22092.491770999997,11675.7326485,22091.985843,16449.8137703,16493.01467445,11352.002411458334,2586.050473,75.617305,6024.631544,6007.2083328,6008.1206539,1268.0585007222223,0.050301
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.12xlarge,4,none,50,True,603,10,348.52675073938207,31.177190459369818,18.746898,27.773879,538.07994,35.520013,38.2811531,1819.9961136000002,1903.6550541,1434.610109379768,136.095619,1404.984471,2189.0558659999997,1359.040227,2144.761544,1699.0536318000002,1812.4175159,1376.1042462089551,82.679112,52.790367,734.06366,70.5002408,213.01798319999992,57.59447551077944,0.046402
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.48xlarge,8,none,50,True,94,1,56.501382414569015,20.25150031914893,15.489239,17.9153435,103.80261899999999,22.668535700000003,24.105837049999995,1070.4818519,1126.6616414499997,884.9341000744679,85.102796,876.117482,1186.1273139999998,875.5146345,1183.075946,1068.2384379999999,1123.8541073,883.9317430638299,84.553289,0.039320499999999,0.081151,0.05846200000000001,0.06719950000000001,0.041225510638297005,0.02595
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.48xlarge,8,gptq,50,True,77,20,40.23324692273789,717.4545103376622,158.95156,458.318432,6475.55618,511.06215400000013,3190.2589100000046,30021.9289098,30025.829101,24855.065809636362,9139.686387,24780.543141,42073.883649,21675.546123,29917.864419,24936.971031999998,24937.4556016,21184.580659792206,5705.102124999999,1946.152179,18940.096398,6080.227008,12596.355244000022,3669.408735090909,0.052790000000000004
sagemaker,meta-llama/Llama-2-70b-hf,ml.p4d.24xlarge,8,none,50,True,331,10,186.13256404614782,61.395350244712986,46.290408,52.822532,587.951082,65.975632,76.66797,3330.458057,3444.935183,2686.257520613293,105.500568,2805.21227,3943.31742,2614.054087,3466.941084,2929.435986,3298.7452519999997,2513.6428271903324,89.775376,51.927356,991.906066,314.218479,666.107398,171.63076954380665,0.057274
sagemaker,TheBloke/Llama-2-70B-GPTQ,ml.g5.12xlarge,4,gptq,50,True,74,10,40.265952980745126,347.18945966216216,149.492427,223.4119885,2880.547367,333.72706500000004,736.5148544999942,18769.1719807,18770.03161155,12417.43862958108,2882.9633949999998,12549.161583000001,18787.982676,11032.724621000001,18787.503103,16431.377196,16686.343657200003,11462.076813472973,2813.0132240000003,58.885600499999995,5111.206071,5096.6641454,5097.22855025,954.4369197027027,0.050183
sagemaker,TheBloke/Llama-2-7B-GPTQ,ml.g5.2xlarge,1,gptq,50,True,422,20,234.41538844711442,77.3291551943128,45.964309,73.13261800000001,465.548581,82.1293899,154.33629425,4861.247364200015,5778.622728050001,4265.931544104265,651.139654,3928.235581,11823.655056,3656.4347264999997,11823.308621,4106.3457849999995,4178.55680445,3759.0872146113747,392.946732,269.9204915,4099.2588989999995,755.3035028000002,1859.6258079,505.4032517109005,0.059430000000000004
sagemaker,meta-llama/Llama-2-7b-hf,ml.g5.48xlarge,8,none,50,True,324,5,189.6363316924556,28.231818827160488,17.51411,25.407989999999998,186.233814,33.6689206,37.11034164999998,1727.3139097,1847.1276104499993,1318.3127819907406,166.801093,1285.083188,2650.5212349999997,1247.735533,2102.9964410000002,1657.5048313999998,1738.2378878499999,1259.9937331820988,159.911012,54.067812,817.258431,86.65946309999995,183.20364654999997,57.47217166666666,0.027490999999999002
sagemaker,meta-llama/Llama-2-70b-hf,ml.g5.48xlarge,8,none,50,True,61,5,38.49123609506727,173.05739647540983,53.349928,138.248713,1569.912386,196.652966,209.17268,8636.695653,10487.248468,6494.984972229509,1588.774264,6758.461066,10542.721602,6727.936428999999,10458.846816,8597.080737,9901.689289,6410.852573540984,1569.912386,33.652273,1058.127628,194.341694,208.909137,83.16560921311473,0.030822
